framework,version,device,op_name,kernel_source,phase,batch_size,seq_len,num_tokens,d_model,d_conv,num_k_heads,head_k_dim,num_v_heads,head_v_dim,model_name,latency
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,1,1,1,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.00398080013692379
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,1,1,1,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.004041599854826927
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,2,1,2,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004470400139689445
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,1,1,1,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.006076800078153611
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,2,1,2,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.004848000034689904
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,2,1,2,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.0042304001748561856
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,4,1,4,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004508800059556961
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,4,1,4,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.005648000165820122
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,4,1,4,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.004492799937725067
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,1,1,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.2469183921813965
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,8,1,8,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004499199986457825
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,1,1,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.25887360572814944
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,1,1,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.25245440006256104
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,1,1,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.2523808002471924
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,1,1,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.25201599597930907
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,8,1,8,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.0046720001846551895
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,16,1,16,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004572800174355507
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,8,1,8,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.004950400069355964
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,16,1,16,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.00485760010778904
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,16,1,16,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.004729599878191948
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,32,1,32,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004492799937725067
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,32,1,32,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.004444799944758415
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,64,1,64,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004479999840259552
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,32,1,32,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.0049183998256921765
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,64,1,64,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.004828799888491631
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,64,1,64,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.004483199864625931
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,128,1,128,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004844800010323525
