framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,1,16,24,4,128,1,bfloat16,bfloat16,0,0.011413333316644033
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,32,128,48,4,256,1,bfloat16,fp8,0,0.02606933315594991
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,2,8192,64,8,128,1,bfloat16,fp8,0,0.3020426630973816
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,16,1,24,1,128,1,bfloat16,fp8,0,0.010309333602587381
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,16,2048,24,4,256,1,bfloat16,fp8,0,0.3113386631011963
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,4,12288,40,40,128,1,bfloat16,bfloat16,0,26.087168375651043
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,64,128,24,1,128,1,bfloat16,bfloat16,0,0.01341333364446958
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,4,64,2,2,128,1,bfloat16,bfloat16,0,0.009408000235756239
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,1,1536,40,2,256,1,bfloat16,fp8,0,0.019509332875410717
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,32,128,48,1,256,1,bfloat16,fp8,0,0.015578666081031164
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,4,16,16,8,256,1,bfloat16,fp8,0,0.013248000293970108
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,2,1536,16,16,256,1,bfloat16,bfloat16,0,0.188810666402181
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,2,128,64,8,256,1,bfloat16,bfloat16,0,0.014261333892742792
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,128,128,48,2,256,1,bfloat16,fp8,0,0.051301335295041404
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,64,1536,16,2,256,1,bfloat16,bfloat16,0,0.22874667247136435
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,1,6144,4,4,256,1,bfloat16,bfloat16,0,0.3033653299013774
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,64,1,64,8,128,1,bfloat16,fp8,0,0.0220266655087471
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,8,2048,8,8,256,1,bfloat16,bfloat16,0,0.5761119922002157
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,32,16,1,1,128,1,bfloat16,bfloat16,0,0.010431999961535135
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,256,1,32,1,128,1,bfloat16,fp8,0,0.020037333170572918
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,4,10240,4,1,256,1,bfloat16,bfloat16,0,0.3166773319244385
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,64,128,16,16,128,1,bfloat16,bfloat16,0,0.09198400378227234
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,8,16,48,8,128,1,bfloat16,fp8,0,0.01394133393963178
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,128,1,16,16,128,1,bfloat16,fp8,0,0.06380799909432729
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,1,8192,64,64,256,1,bfloat16,bfloat16,0,8.37657610575358
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,64,2048,8,2,256,1,bfloat16,bfloat16,0,0.49305065472920734
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,128,512,48,2,256,1,bfloat16,bfloat16,0,0.1471573313077291
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,2,16,24,24,128,1,bfloat16,bfloat16,0,0.010826667149861654
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,1,1,32,8,128,1,bfloat16,bfloat16,0,0.009546666716535887
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,4,1024,16,2,128,1,bfloat16,fp8,0,0.01692266638080279
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,32,32,2,1,256,1,bfloat16,bfloat16,0,0.013077333569526672
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,4,128,16,16,256,1,bfloat16,fp8,0,0.014794666320085526
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,64,32,16,2,256,1,bfloat16,bfloat16,0,0.016122666498025257
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,4,16,64,8,128,1,bfloat16,bfloat16,0,0.011898666620254517
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,2,12288,4,4,128,1,bfloat16,fp8,0,1.4850400288899739
VLLM,0.20.0,NVIDIA H100 80GB HBM3,context_attention,vllm_flash_attn,64,512,12,2,128,1,bfloat16,bfloat16,0,0.0651093324025472
