framework,version,device,op_name,kernel_source,model,architecture,mla_dtype,kv_cache_dtype,gemm_type,num_heads,batch_size,isl,tp_size,step,latency
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,8,256,1,1,512,0.3881
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,4,1,1,1,32768,0.2238
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,16,1,1,1,65536,0.2313
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,2,2,1,1,16384,0.2186
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,1,64,1,1,8192,0.2908
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,128,512,1,1,1024,1.4454
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,8,8,1,1,2048,0.1893
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,16,2,1,1,65536,0.2186
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,2,1,1,1,16384,0.2167
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,32,1024,1,1,8,1.4323
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,2,128,1,1,64,0.2847
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,2,1024,1,1,512,0.9975
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,16,64,1,1,8,0.2692
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,128,4,1,1,65536,0.3126
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,1,512,1,1,4,0.6953
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,32,1024,1,1,2,1.4369
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,1,4,1,1,8,0.2153
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,8,64,1,1,256,0.2851
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,16,64,1,1,1024,0.2805
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,8,256,1,1,32,0.4415
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,8,4,1,1,256,0.2596
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,2,1,1,1,128,0.1558
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,4,1024,1,1,2,0.8923
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,512,1,1,128,1.1831
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,8,2,1,1,16384,0.2634
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,4,1024,1,1,512,1.2913
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,16,1,1,1,131072,0.2603
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,1,1,1,1,4096,0.2362
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,16,1,1,16384,0.3678
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,8,1024,1,1,2048,1.3697
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,128,128,1,1,2048,0.5532
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,1,128,1,1,64,0.2531
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,128,4,1,1,2,0.3093
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1024,1,1,16384,3.2176
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,32,64,1,1,4096,0.3100
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,4,2,1,1,128,0.2484
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,64,512,1,1,8,0.8290
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,16,1024,1,1,4,1.2905
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,32,8,1,1,256,0.3055
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,16,8,1,1,1024,0.2555
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,1,128,1,1,32,0.2985
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,2,64,1,1,8,0.2579
