framework,version,device,op_name,kernel_source,model,architecture,mla_dtype,kv_cache_dtype,gemm_type,num_heads,batch_size,isl,tp_size,step,latency
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,64,16,1,1,0,0.1573
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,128,2,16,1,0,0.2293
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,8,32,32,1,0,0.2622
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,128,4,128,1,0,0.5240
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,1,2,32,1,0,0.0942
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,1,128,1,1,0,0.1063
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,16,2,64,1,0,0.1317
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,64,2,512,1,0,0.6921
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,4,16,1,1,0,0.1104
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,4,32,32,1,0,0.2547
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,16,4,32,1,0,0.1330
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,4,32,128,1,0,0.8230
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,fp8_block,2,256,1,1,0,0.1371
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,1,1,128,1,0,0.1216
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,4,128,64,1,0,1.4087
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,2,64,64,1,0,0.6906
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,fp8_block,1,64,64,1,0,0.6975
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,2,64,1,1,0,0.1044
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,16,16,1,1,0,0.1109
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,8,16,32,1,0,0.1808
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,64,1,64,1,0,0.1864
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,16,8,512,1,0,1.5880
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,fp8_block,4,1,64,1,0,0.1017
