framework,version,device,op_name,kernel_source,model,architecture,mla_dtype,kv_cache_dtype,gemm_type,num_heads,batch_size,isl,tp_size,step,latency
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,4,1024,1,1,128,0.2611
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,1,1,1,1,4,0.0704
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,4,1024,1,1,4,0.2347
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,16,1,1,1,2048,0.0969
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,2,2,1,1,1024,0.0783
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,128,512,1,1,1024,0.8733
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,32,512,1,1,4096,1.1060
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,8,512,1,1,4,0.1814
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,1,1,1,1,128,0.0832
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,32,512,1,1,65536,11.7873
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,128,512,1,1,8,0.6133
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,fp8_block,32,64,1,1,8192,0.3350
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,128,32,1,1,2,0.2304
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,2,128,1,1,2,0.1126
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,32,128,1,1,16384,0.9978
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,1,4,1,1,2,0.0772
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,fp8_block,8,2,1,1,16,0.0911
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,4,8,1,1,131072,0.4793
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,fp8_block,2,1024,1,1,2048,0.9643
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,32,8,1,1,131072,0.5463
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,8,512,1,1,65536,11.7731
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,fp8_block,32,128,1,1,2048,0.2365
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,1,256,1,1,32,0.1380
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,32,64,1,1,512,0.1432
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,fp8_block,64,16,1,1,128,0.1389
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,2,64,1,1,512,0.1203
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,fp8_block,64,64,1,1,16,0.1526
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,8,8,1,1,1024,0.1152
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,4,128,1,1,8,0.1184
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,16,4,1,1,8,0.1271
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,fp8_block,2,2,1,1,16384,0.1105
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,bfloat16,bfloat16,64,1024,1,1,256,0.6547
VLLM,0.20.0,NVIDIA H100 80GB HBM3,mla_generation_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,fp8_block,128,4,1,1,256,0.1643
