framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,16,1,4,1,128,1,bfloat16,bfloat16,4095,0.044079999128977455
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,16,1,12,1,128,1,bfloat16,fp8,8191,0.0899679958820343
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,64,1,2,1,128,1,bfloat16,fp8,31,0.011183999478816986
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,128,1,64,1,128,1,bfloat16,fp8,1023,0.023013333479563396
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,8,4,128,1,bfloat16,fp8,3,0.009359999870260557
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,64,1,40,1,128,1,bfloat16,bfloat16,1,0.01101333275437355
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,64,1,64,2,128,1,bfloat16,bfloat16,255,0.013023999830087027
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,512,1,8,4,128,1,bfloat16,bfloat16,255,0.10322133700052898
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,8,8,128,1,bfloat16,fp8,255,0.019413333386182785
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,16,2,128,1,bfloat16,bfloat16,7,0.01028266673286756
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,8,1,64,4,128,1,bfloat16,bfloat16,7,0.01020800011853377
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,4,1,48,8,128,1,bfloat16,fp8,3,0.0102186668664217
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,512,1,8,4,128,1,bfloat16,fp8,127,0.08953600128491719
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,8,8,128,1,bfloat16,bfloat16,1,0.00955200009047985
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,256,1,1,1,128,1,bfloat16,bfloat16,2047,0.07750399907430013
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,16,1,8,1,128,1,bfloat16,bfloat16,63,0.010053333515922228
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,128,1,24,8,128,1,bfloat16,fp8,255,0.05604266623655955
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,1024,1,8,2,128,1,bfloat16,bfloat16,1,0.0603359987338384
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,8,1,32,2,128,1,bfloat16,fp8,7,0.009973333527644476
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,8,1,12,2,128,1,bfloat16,fp8,31,0.010069333637754122
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,16,1,8,4,128,1,bfloat16,bfloat16,32767,0.32874133189519245
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,512,1,1,1,128,1,bfloat16,fp8,3,0.02917333443959554
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,4,1,8,2,128,1,bfloat16,fp8,1,0.009717333440979322
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,bfloat16,fp8,15,0.010437333335479101
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,64,1,2,1,128,1,bfloat16,bfloat16,3,0.010928000013033548
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,8,1,16,4,128,1,bfloat16,bfloat16,255,0.011898666620254517
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,2,1,48,8,128,1,bfloat16,fp8,31,0.00985599992175897
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,64,1,32,4,128,1,bfloat16,bfloat16,15,0.015008000036080679
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,2,1,24,4,128,1,bfloat16,bfloat16,127,0.009493333597977957
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,32,8,128,1,bfloat16,bfloat16,1023,0.011839999506870905
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,8,4,128,1,bfloat16,fp8,127,0.010575999816258749
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,512,1,48,8,128,1,bfloat16,fp8,63,0.1410719950993856
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,16,1,16,1,128,1,bfloat16,fp8,8191,0.08959466218948364
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,32,2,128,1,bfloat16,fp8,15,0.009296000003814697
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,8,1,2,2,128,1,bfloat16,bfloat16,127,0.00984533317387104
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,48,8,128,1,bfloat16,bfloat16,511,0.01116266722480456
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,2,1,32,4,128,1,bfloat16,fp8,63,0.009877333417534828
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,16,1,40,1,128,1,bfloat16,bfloat16,7,0.01009599988659223
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,1024,1,16,8,128,1,bfloat16,bfloat16,15,0.2195733388264974
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,64,1,48,8,128,1,bfloat16,fp8,15,0.022197333474953968
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,64,1,16,4,128,1,bfloat16,bfloat16,63,0.015013333410024643
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,2,1,32,4,128,1,bfloat16,fp8,4095,0.01651200031240781
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,256,1,16,1,128,1,bfloat16,fp8,255,0.02332266668478648
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,2048,1,32,1,128,1,bfloat16,fp8,15,0.07222933570543925
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,512,1,4,2,128,1,bfloat16,fp8,63,0.04182399809360504
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,16,1,64,2,128,1,bfloat16,fp8,127,0.012128000458081564
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,512,1,16,8,128,1,bfloat16,fp8,15,0.12711466352144876
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,40,4,128,1,bfloat16,bfloat16,3,0.00921066664159298
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,2,1,40,4,128,1,bfloat16,fp8,7,0.009749333063761393
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,256,1,16,1,128,1,bfloat16,bfloat16,1023,0.05352533360322317
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,2,1,48,4,128,1,bfloat16,fp8,63,0.009759999811649323
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,256,1,40,4,128,1,bfloat16,fp8,63,0.04165333261092504
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,1024,1,48,4,128,1,bfloat16,fp8,1,0.10596266388893127
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,16,1,8,1,256,1,bfloat16,fp8,7,0.012949333836634954
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,64,1,24,8,256,1,bfloat16,bfloat16,31,0.02566933383544286
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,4,1,256,1,bfloat16,bfloat16,1,0.01097600037852923
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,24,4,256,1,bfloat16,fp8,8191,0.025653332471847534
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,4,1,48,1,256,1,bfloat16,fp8,511,0.014581333845853806
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,512,1,12,2,256,1,bfloat16,fp8,1,0.06745066742102306
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,256,1,32,2,256,1,bfloat16,fp8,3,0.039621333281199135
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,128,1,8,4,256,1,bfloat16,fp8,511,0.09593600034713745
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,8,8,256,1,bfloat16,fp8,1,0.01258133351802826
VLLM,0.20.0,NVIDIA H200,generation_attention,vllm_flash_attn,64,1,16,8,256,1,bfloat16,bfloat16,4095,0.5033546686172485
