framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,1,4096,1536,8,128,1,64,balanced,0.063509335120519
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,1,7168,2048,8,256,1,4,power_law_1.2,0.06717439889907836
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,1,7168,2048,8,256,16,1,balanced,0.05369600156943003
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,2,7168,2048,8,256,16,1,balanced,0.06125866870085398
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,4,7168,2048,8,256,16,1,balanced,0.09640533725420634
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,8,7168,2048,8,256,16,1,balanced,0.15812266866366068
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,16,7168,2048,8,256,16,1,balanced,0.2879573305447896
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,32,7168,2048,8,256,16,1,balanced,0.5411093235015869
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,48,7168,2048,8,256,16,1,balanced,0.5485386848449707
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,2,7168,2048,8,256,1,4,power_law_1.2,0.1142848014831543
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,64,7168,2048,8,256,16,1,balanced,0.6552853186925253
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,80,7168,2048,8,256,16,1,balanced,0.65120001633962
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,4,7168,2048,8,256,1,4,power_law_1.2,0.2383039951324463
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,96,7168,2048,8,256,16,1,balanced,0.7681492964426676
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,128,7168,2048,8,256,16,1,balanced,0.8546186288197836
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,8,7168,2048,8,256,1,4,power_law_1.2,0.38974719047546386
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,160,7168,2048,8,256,16,1,balanced,1.0112693309783936
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,16,7168,2048,8,256,1,4,power_law_1.2,0.503545618057251
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,192,7168,2048,8,256,16,1,balanced,1.1408906777699788
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,32,7168,2048,8,256,1,4,power_law_1.2,0.6616384029388428
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,1,6144,2048,8,256,1,1,power_law_1.2,0.17889280319213868
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,2,6144,2048,8,256,1,1,power_law_1.2,0.31884160041809084
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,4,6144,2048,8,256,1,1,power_law_1.2,0.6139584064483643
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,1,6144,2560,8,160,4,1,power_law_1.2,0.07879040241241456
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,2,6144,2560,8,160,4,1,power_law_1.2,0.129203200340271
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,4,6144,2560,8,160,4,1,power_law_1.2,0.21247999668121337
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,2,4096,1536,8,128,1,64,balanced,0.1886826753616333
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,4,4096,1536,8,128,1,64,balanced,0.18826667467753092
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,8,4096,1536,8,128,1,64,balanced,0.1892426609992981
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,8,6144,2560,8,160,4,1,power_law_1.2,0.34335999488830565
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,16,4096,1536,8,128,1,64,balanced,0.20251200596491495
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,16,6144,2560,8,160,4,1,power_law_1.2,0.5180672168731689
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,32,6144,2560,8,160,4,1,power_law_1.2,0.9419327735900879
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,8,6144,2048,8,256,1,1,power_law_1.2,1.139692783355713
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,48,6144,2560,8,160,4,1,power_law_1.2,1.1957759857177734
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,16,6144,2048,8,256,1,1,power_law_1.2,1.763430404663086
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,64,6144,2560,8,160,4,1,power_law_1.2,1.4272768020629882
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,80,6144,2560,8,160,4,1,power_law_1.2,1.6400640487670899
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,32,6144,2048,8,256,1,1,power_law_1.2,2.747257614135742
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,96,6144,2560,8,160,4,1,power_law_1.2,1.8899263381958007
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,48,6144,2048,8,256,1,1,power_law_1.2,4.116153717041016
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,48,7168,2048,8,256,1,4,power_law_1.2,0.9945216178894043
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,64,6144,2048,8,256,1,1,power_law_1.2,4.8490753173828125
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,64,7168,2048,8,256,1,4,power_law_1.2,1.0196543693542481
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,32,4096,1536,8,128,1,64,balanced,0.13319466511408487
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,80,6144,2048,8,256,1,1,power_law_1.2,5.569478225708008
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,96,6144,2048,8,256,1,1,power_law_1.2,6.302816009521484
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,1,4096,2688,22,512,4,1,balanced,0.11558399597803752
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,2,4096,2688,22,512,4,1,balanced,0.19824000199635824
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,4,4096,2688,22,512,4,1,balanced,0.3550933202107747
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,128,6144,2048,8,256,1,1,power_law_1.2,7.645958709716797
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,48,4096,1536,8,128,1,64,balanced,0.14108799894650778
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,64,4096,1536,8,128,1,64,balanced,0.14199999968210855
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,256,7168,2048,8,256,16,1,balanced,0.9614559809366862
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,80,4096,1536,8,128,1,64,balanced,0.14138666788736978
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,96,4096,1536,8,128,1,64,balanced,0.1525173286596934
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,128,4096,1536,8,128,1,64,balanced,0.16152000427246094
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,320,7168,2048,8,256,16,1,balanced,0.9668266773223877
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,160,4096,1536,8,128,1,64,balanced,0.16739199558893839
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,192,4096,1536,8,128,1,64,balanced,0.17620799938837686
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,256,4096,1536,8,128,1,64,balanced,0.1827733318010966
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,384,7168,2048,8,256,16,1,balanced,0.972330649693807
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,160,6144,2048,8,256,1,1,power_law_1.2,8.984703826904298
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,fp8,1,6144,2560,8,160,1,2,power_law_1.2,0.07776640057563781
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,512,7168,2048,8,256,16,1,balanced,0.9823626677195231
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,8,4096,2688,22,512,4,1,balanced,0.6817013422648112
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,768,7168,2048,8,256,16,1,balanced,1.0028053124745686
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,16,4096,2688,22,512,4,1,balanced,1.310261329015096
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,1024,7168,2048,8,256,16,1,balanced,1.023360013961792
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,1536,7168,2048,8,256,16,1,balanced,1.0647786458333333
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,80,7168,2048,8,256,1,4,power_law_1.2,1.1095040321350098
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,32,4096,2688,22,512,4,1,balanced,1.9223146438598633
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,2048,7168,2048,8,256,16,1,balanced,1.107258637746175
VLLM,0.20.0,NVIDIA H200,moe,vllm_fused_moe,bfloat16,96,7168,2048,8,256,1,4,power_law_1.2,1.1889727592468262
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,320,4096,1536,8,128,1,64,balanced,0.19043733676274618
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,3072,7168,2048,8,256,16,1,balanced,2.0465760231018066
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,384,4096,1536,8,128,1,64,balanced,0.19608000914255777
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,512,4096,1536,8,128,1,64,balanced,0.20689600706100464
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,768,4096,1536,8,128,1,64,balanced,0.229418675104777
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,1024,4096,1536,8,128,1,64,balanced,0.24730134010314941
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,4096,7168,2048,8,256,16,1,balanced,2.1247359911600747
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,1536,4096,1536,8,128,1,64,balanced,0.291594664255778
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,2048,4096,1536,8,128,1,64,balanced,0.3322506745656331
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,128,6144,2560,8,160,4,1,power_law_1.2,2.187820816040039
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,3072,4096,1536,8,128,1,64,balanced,0.41628801822662354
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,4096,4096,1536,8,128,1,64,balanced,0.5273546775182089
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,192,6144,2048,8,256,1,1,power_law_1.2,10.383238220214844
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,6144,7168,2048,8,256,16,1,balanced,3.1190665562947593
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,6144,4096,1536,8,128,1,64,balanced,0.7831040223439535
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,160,6144,2560,8,160,4,1,power_law_1.2,2.155603218078613
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,8192,4096,1536,8,128,1,64,balanced,1.0147253672281902
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,12288,4096,1536,8,128,1,64,balanced,1.5013759930928547
VLLM,0.20.0,NVIDIA H200,moe,vllm_marlin_int4_moe,int4_wo,8192,7168,2048,8,256,16,1,balanced,4.099125226338704
